species	site	year	a11	a12	a13	a14	a21	a22	a23	a24	a31	a32	a33	a34	a41	a42	a43	a44
lewisii	Wawona	pooled	0.03	0	423	19468	8.80e-6	0.0303	0	0	1.35e-6	0	0.5500	0.1190	0	0	0.1500	0.6905
lewisii	Carlon	2000	0.0353	719	2810	13588	4.32e-5	0.0909	0.0263	0	1.05e-5	0.2727	0.5132	0.3248	3.08e-7	0.0303	0.1184	0.5726
lewisii	Carlon	2001	0.0280	0	1350	12680	8.89e-6	0.0476	0	0	2.78e-6	0.1224	0.4528	0.2500	0	0	0.0629	0.5909
lewisii	Carlon	2002	0.0611	953	3540	21336	4.63e-5	0.0769	0.0286	0	7.80e-5	0.0256	0.2000	0.1296	8.90e-7	0.0256	0.0952	0.5741
lewisii	Carlon	pooled	0.04	238	2385	15124	3.12e-5	0.0594	0.0168	0	2.92e-5	0.1279	0.4111	0.2587	3.80e-7	0.0091	0.0913	0.5792
lewisii	"May Lake"	2000	0.0326	0	24199	89430	3.77e-6	0.0467	0.0625	0	1.24e-6	0.0272	0.6094	0.0652	4.77e-8	0	0.2500	0.9239
lewisii	"May Lake"	2001	0.0280	749	17896	65717	7.46e-6	0.0860	0	0	2.91e-7	0.2366	0.6081	0.0286	0	0.0108	0.2568	0.9429
lewisii	"May Lake"	2002	0.0302	0	8543	34830	4.88e-6	0.0566	0.0260	0	5.90e-7	0.0755	0.5714	0.1017	5.37e-8	0	0.2078	0.8475
lewisii	"May Lake"	pooled	0.03	124	16586	63041	6.49e-6	0.0569	0.0279	0	7.79e-7	0.0801	0.5953	0.0667	3.46e-8	0.0018	0.2372	0.9016
lewisii	"Warren Fork"	2000	0.0280	0	22612	99899	5.55e-5	0.125	0.0909	0	3.51e-6	0	0.5152	0.1639	0	0	0.1818	0.8033
lewisii	"Warren Fork"	2001	0.0404	990	29380	112532	2.36e-5	0.2358	0.0345	0	3.88e-6	0.1992	0.5862	0.0755	1.02e-7	0.0081	0.2414	0.9245
lewisii	"Warren Fork"	2002	0.0280	0	8286	78268	3.63e-5	0.1149	0.0230	0	9.26e-7	0.0920	0.6609	0.1286	0	0	0.0862	0.8143
lewisii	"Warren Fork"	pooled	0.03	528	15064	96077	3.41e-5	0.1840	0.0340	0	2.23e-6	0.1505	0.6241	0.1250	2.69e-8	0.0046	0.1321	0.8424
